"Categorie";"Champ spécifique";"Nom Web Service"
"Imprimantes et Cartouches";"Etat 2";"etat"
"Imprimantes et Cartouches";"Couleur";"couleur"
"Imprimantes et Cartouches";"Marque";"marque"
"Imprimantes et Cartouches";"Titre 2";"titre"
"Imprimantes et Cartouches";"Origine";"origine"
"Imprimantes et Cartouches";"Modele";"modele"
"Imprimantes et Cartouches";"Capacite";"capacite"
"Imprimantes et Cartouches";"Interface";"interface"
"Imprimantes et Cartouches";"Resolution maximale";"resolution"
"Imprimantes et Cartouches";"Composants";"composants"
"Imprimantes et Cartouches";"Memoire (RAM)";"memoire_ram"
"Imprimantes et Cartouches";"Pages par minute";"pages_minute"
"Imprimantes et Cartouches";"Tirage";"tirage"
"Imprimantes et Cartouches";"Usage";"usage"
"Imprimantes et Cartouches";"Type";"type_1"
"Imprimantes et Cartouches";"Quantite lot";"quantite_lot"
"Imprimantes et Cartouches";"Garantie constructeur";"garantie_constructeur"
"Imprimantes et Cartouches";"Garantie Marchand";"garantie_marchand"
"Imprimantes et Cartouches";"Fonctions";"fonctions"
"Imprimantes et Cartouches";"Technologie";"technologie"
